country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
QAT,Qatar,Ras Laffan B CCGT Power Plant Qatar,GEODB0005023,1025.0,25.9243,51.5481,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,3759.88813045127
QAT,Qatar,Ras Laffan C (Ras Qartas) CCGT Power Plant Qatar,GEODB0042860,2730.0,25.9360,51.5235,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,2017,,,,,10014.141069397043
ROU,Romania,HPP Galceag,WRI1019121,149.0,45.5879,23.6279,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,862.1608643457383
ROU,Romania,HPP Lotru,WRI1019100,509.0,45.4472,23.7683,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,2945.234093637455
ROU,Romania,HPP Mariselu,WRI1019113,219.0,46.6679,23.0590,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1267.202881152461
ROU,Romania,HPP Portile de Fier I,WRI1019095,1161.0,44.6733,22.5320,Hydro,,,,1972.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,6717.911164465786
ROU,Romania,HPP Portile de Fier II,WRI1019110,245.0,44.3074,22.5672,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1417.6470588235295
ROU,Romania,HPP Raul Mare,WRI1019104,335.0,45.3391,22.7213,Hydro,,,,1986.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1938.4153661464586
ROU,Romania,HPP Ruieni,WRI1019122,138.0,45.4260,22.4757,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,798.5114045618246
ROU,Romania,HPP Stejaru,WRI1019114,208.0,46.9386,26.1029,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1203.5534213685473
